Time(s),Source cell ID,Destination cell ID
239.7,7,6
240.1,9,14
240.3,9,10
240.5,1,12
240.7,17,18
240.8,9,14
241.4,17,18
241.5,17,12
241.6,3,18
242.2,1,12
242.5,2,5
242.5,17,12
242.6,7,6
242.9,3,2
243.6,3,7
243.7,3,7
244.0,3,18
244.1,12,1
244.4,3,7
244.7,3,7
245.4,2,6
245.6,9,5
245.6,9,13
246.1,19,16
246.7,17,12
247.4,7,8
248.0,7,8
248.0,17,13
248.1,4,8
248.5,9,10
248.6,9,8
248.7,19,16
249.0,9,10
249.2,6,2
249.4,14,9
249.7,3,18
249.9,12,1
250.5,2,18
250.6,16,19
251.7,7,12
251.7,7,8
252.4,14,17
252.4,14,17
252.6,9,10
252.6,12,16
253.0,3,18
253.2,7,3
253.3,9,5
253.4,8,4
254.1,9,4
255.3,3,2
255.8,9,13
256.7,7,6
256.8,1,17
256.8,12,11
258.0,10,15
258.5,12,16
258.5,17,14
259.1,2,6
259.1,12,7
259.5,5,2
259.8,10,15
260.3,18,2
260.4,12,11
261.1,17,1
261.4,14,17
262.1,7,8
262.4,4,8
263.7,18,3
264.5,15,14
264.7,19,8
264.9,15,11
264.9,17,14
265.1,18,3
265.3,9,8
265.9,15,10
266.7,17,14
266.9,2,3
267.1,16,1
267.4,18,3
267.5,18,17
268.5,18,17
269.3,9,14
269.3,12,1
269.7,7,3
272.3,16,19
272.6,4,8
273.1,8,19
274.0,13,8
274.8,16,19
274.9,16,12
275.0,4,8
275.2,8,3
276.3,16,11
278.3,12,1
278.5,8,4
278.6,16,4
278.9,16,11
279.1,13,8
279.2,8,4
279.4,6,3
279.5,13,9
280.7,14,17
281.1,14,17
281.1,14,17
281.5,6,3
282.4,9,5
282.9,6,7
283.0,17,14
283.7,17,14
283.8,18,2
284.4,9,14
284.4,14,17
285.3,6,3
285.9,19,4
286.3,8,4
286.3,10,14
286.3,14,17
286.5,18,3
286.9,1,2
287.2,1,4
287.4,1,12
287.6,1,17
288.2,10,9
288.6,15,16
288.9,1,17
289.2,9,4
289.3,17,14
289.3,19,16
289.7,7,13
289.8,3,2
289.8,15,11
289.9,8,4
290.7,17,1
291.0,8,13
291.3,3,18
291.4,11,15
291.5,3,6
291.7,10,6
291.9,4,16
291.9,11,16
292.1,8,4
292.2,3,18
292.4,17,18
292.7,12,16
293.1,7,6
293.2,3,6
293.3,2,17
293.4,11,16
293.4,17,1
293.8,3,6
294.0,6,10
294.5,16,15
294.6,2,1
294.9,17,14
295.1,17,14
295.6,2,3
296.4,4,9
296.7,9,10
296.8,4,16
298.0,11,16
298.9,19,16
299.9,4,8
300.2,4,8
300.3,12,16
301.1,4,16
301.6,13,8
302.1,2,6
303.0,15,16
303.2,5,6
304.2,1,2
304.4,16,19
304.7,12,11
305.1,5,6
305.2,3,2
305.4,1,17
306.0,1,17
306.4,8,7
306.9,15,16
307.3,13,9
307.3,16,4
307.7,13,7
308.6,17,1
309.0,6,7
309.7,3,8
310.1,16,11
312.0,14,9
312.0,14,9
312.1,1,16
312.1,2,18
313.0,4,9
314.5,10,9
314.5,17,2
314.8,16,11
315.4,17,18
315.5,5,9
315.9,7,6
316.4,16,1
316.7,17,18
316.9,2,18
316.9,8,19
316.9,11,12
317.3,8,19
318.0,14,9
318.3,14,9
319.8,14,17
320.1,2,17
320.3,2,18
320.6,14,18
320.7,2,17
321.1,8,9
321.4,12,17
321.6,16,15
322.0,7,8
322.0,12,11
322.2,9,13
322.4,3,18
322.6,2,5
323.7,2,6
324.2,7,13
324.6,16,1
324.8,5,6
325.0,16,15
325.1,10,6
326.6,3,6
326.8,11,16
327.6,4,16
327.7,2,6
327.7,2,17
327.7,3,19
328.3,17,14
328.4,18,14
329.4,17,18
330.6,9,14
331.0,17,2
331.0,18,3
331.3,6,2
331.4,6,3
332.1,6,5
332.3,6,5
332.4,8,9
333.2,9,5
333.7,8,19
333.9,4,16
334.4,8,19
334.8,18,2
335.0,8,7
335.1,8,19
336.3,11,12
336.4,6,2
336.4,8,4
337.3,18,2
337.6,14,18
337.6,14,15
339.2,3,7
339.3,3,18
340.2,6,7
341.8,5,2
342.1,1,16
343.0,6,7
343.4,17,2
344.2,5,9
345.2,19,3
345.3,1,16
345.5,18,14
345.8,5,2
346.0,7,3
346.1,17,12
346.4,17,2
346.5,16,1
347.1,7,3
347.3,4,9
347.3,17,13
347.5,18,14
347.6,17,12
347.7,18,3
348.2,2,18
348.3,17,18
348.4,15,10
348.9,4,8
349.0,19,8
349.3,17,13
349.6,9,10
349.9,15,14
352.1,6,10
352.4,13,12
353.1,9,5
353.2,2,5
353.2,6,5
354.2,16,1
354.7,9,4
354.8,2,1
355.0,14,15
355.1,12,1
355.6,7,3
355.7,19,3
356.7,19,3
357.0,19,16
357.1,16,15
357.4,19,8
357.6,1,16
359.0,8,4
359.5,1,2
360.0,19,18
360.1,11,16
360.3,6,2
361.0,12,17
362.1,12,7
362.2,3,7
362.5,10,15
362.5,18,2
362.8,11,15
363.6,3,7
363.6,3,7
364.2,16,12
364.3,16,4
364.7,3,18
364.9,3,7
365.1,17,12
365.4,18,14
365.8,15,18
366.2,3,18
366.2,18,19
366.5,6,7
366.6,15,11
366.9,1,12
367.5,11,12
367.5,16,12
368.4,2,5
369.0,14,18
370.2,1,16
370.3,2,6
370.9,2,18
370.9,11,15
371.0,5,6
372.3,9,14
373.4,3,18
373.6,15,16
373.7,7,8
373.9,15,14
374.0,16,19
374.1,15,14
374.5,16,1
374.6,7,12
374.9,9,13
375.2,16,11
375.7,2,6
376.5,4,16
376.7,18,3
377.4,7,6
377.5,12,1
378.3,4,8
378.3,18,3
378.6,18,14
379.0,18,15
379.1,16,19
379.2,6,5
379.3,18,19
379.7,2,1
380.0,2,1
381.1,18,19
381.3,7,3
381.4,14,15
381.5,11,16
381.7,18,3
381.8,14,9
382.1,18,15
382.1,18,2
382.4,18,3
382.6,18,15
383.1,6,7
384.2,18,15
384.5,18,15
385.7,2,6
387.1,3,8
387.3,10,6
387.5,3,6
388.8,12,1
389.2,13,14
390.2,12,1
390.3,2,6
390.6,16,15
390.9,12,11
391.9,6,5
391.9,6,7
392.1,6,7
392.6,1,17
392.6,8,4
392.6,12,11
392.6,15,14
392.7,8,19
392.8,1,4
392.9,12,17
393.0,1,17
393.0,12,7
393.2,1,4
393.4,6,2
393.5,16,11
394.6,1,16
394.7,19,3
395.6,5,2
395.6,14,15
396.0,1,16
396.0,11,16
396.2,6,2
397.0,11,16
397.0,16,1
397.5,3,7
397.7,3,7
398.1,11,16
398.3,4,8
399.1,3,19
399.6,15,14
399.7,14,17
400.0,15,14
401.5,10,9
402.0,15,14
402.1,14,17
402.6,15,14
403.0,17,12
403.2,17,2
403.5,17,18
404.6,19,18
405.4,4,16
405.5,9,10
405.6,9,8
405.6,13,14
406.2,4,16
406.2,9,13
406.2,16,1
406.2,17,14
406.6,4,8
406.9,19,15
407.1,17,12
408.6,16,12
409.8,7,3
409.9,9,14
410.2,16,1
410.3,1,2
411.1,16,12
411.1,16,12
411.5,16,12
411.8,9,14
412.1,9,5
412.3,16,15
412.5,16,12
414.0,7,3
414.1,3,18
414.7,14,15
415.3,19,3
415.4,14,18
415.9,19,3
416.1,14,10
416.3,6,7
416.7,14,15
416.8,16,19
417.1,5,2
418.2,5,9
419.7,18,15
420.0,1,12
420.0,5,10
420.6,6,7
420.7,5,4
420.9,5,2
421.0,1,12
421.4,8,7
421.9,6,2
422.1,6,7
423.0,14,9
423.2,12,1
423.2,13,7
424.5,2,5
424.5,4,5
425.7,8,7
425.8,3,7
425.8,14,15
426.1,7,6
426.2,15,14
426.4,3,18
426.6,3,18
426.7,10,5
427.3,3,18
427.9,2,6
427.9,15,14
427.9,18,17
428.9,1,12
429.2,7,6
429.4,4,16
430.2,5,6
431.8,8,7
431.9,8,19
432.1,8,9
432.7,7,12
432.8,8,7
433.2,9,5
434.5,9,14
434.9,7,3
435.2,6,5
435.5,7,3
436.4,6,2
436.6,7,3
436.8,18,3
437.1,7,12
438.8,12,1
439.2,3,2
439.7,19,8
440.4,15,14
440.9,5,2
440.9,7,8
441.1,7,6
441.2,3,18
441.2,6,2
441.7,3,7
441.9,14,18
442.1,12,16
444.1,14,9
444.4,12,17
444.4,17,2
444.5,2,5
444.5,2,18
444.9,6,10
445.0,12,17
445.0,12,7
446.2,9,8
446.6,3,7
446.6,7,8
447.4,15,18
448.0,7,8
449.1,1,12
449.9,12,1
450.2,15,18
450.4,17,12
451.8,2,6
452.6,13,9
452.8,13,7
452.8,14,18
454.6,7,6
454.6,17,18
455.4,14,9
455.4,19,15
455.5,2,18
455.7,7,12
457.1,12,17
457.6,14,17
458.7,18,17
458.9,8,7
459.5,2,5
460.3,15,18
460.6,12,17
464.8,17,12
465.5,7,3
466.0,7,3
466.9,6,7
467.0,8,7
470.5,9,5
471.2,7,6
473.1,13,7
473.2,18,15
473.5,13,14
473.9,9,13
474.6,2,17
475.2,9,14
475.5,14,13
475.9,12,17
475.9,12,17
476.0,12,17
476.3,9,13
476.3,18,3
476.5,2,6
476.6,7,13
477.5,12,11
478.8,2,6
479.4,2,6
479.4,17,1
479.5,2,17
481.0,12,11
481.2,7,3
481.7,10,11
482.5,7,13
482.9,10,6
483.3,1,17
483.3,12,7
483.9,3,8
484.8,14,18
484.9,7,8
485.2,7,8
485.9,3,18
488.1,3,7
488.8,15,16
488.9,2,6
489.6,15,14
491.4,8,19
492.0,15,18
493.1,15,19
493.2,18,14
493.5,1,16
493.6,8,7
493.9,5,9
494.2,5,6
494.7,2,17
494.7,5,9
494.8,7,3
495.1,16,1
496.1,18,3
496.5,14,9
496.5,18,17
497.2,8,7
498.2,5,9
498.3,5,9
499.1,8,9
499.9,5,9
500.1,14,18
500.3,8,9
500.5,1,16
501.6,18,19
502.2,14,18
502.3,18,15
502.4,14,13
502.8,6,2
503.4,14,9
504.8,7,13
504.9,16,1
505.2,7,12
505.9,17,1
506.0,13,12
506.4,19,18
506.7,19,15
506.9,9,8
507.2,9,8
507.8,9,13
507.9,3,18
508.0,5,6
508.9,11,6
509.2,2,6
509.4,10,15
509.5,14,15
509.6,6,5
509.6,12,13
510.1,14,15
511.8,17,1
512.9,18,19
513.3,15,10
513.4,13,9
513.6,15,14
513.6,17,1
514.5,12,11
514.7,8,13
515.0,17,1
515.3,12,1
515.5,8,13
515.6,7,3
515.7,13,14
515.8,7,6
516.4,15,14
517.3,9,10
519.2,9,4
519.3,4,1
519.8,15,10
519.8,18,3
520.2,17,12
520.5,1,12
520.8,13,8
521.1,9,5
521.2,2,6
521.2,15,19
521.3,9,10
522.2,9,4
522.5,6,2
523.0,1,17
523.3,1,17
523.3,13,9
523.4,16,15
523.6,3,18
523.9,3,18
524.1,8,4
524.4,1,4
524.5,8,4
524.7,1,12
524.7,1,2
524.7,13,14
524.9,6,5
526.0,3,7
526.1,12,17
526.2,19,4
526.3,7,8
526.6,4,5
527.4,3,18
528.1,6,2
528.5,18,17
528.6,7,8
529.0,16,4
529.0,19,18
529.2,11,12
529.4,19,8
529.7,15,14
530.0,19,18
530.3,12,1
530.5,19,18
530.6,18,17
530.6,18,3
530.7,7,8
530.9,5,2
532.4,3,8
533.7,15,11
533.8,16,4
533.9,5,4
534.1,15,11
534.2,4,8
535.5,18,19
535.8,1,12
536.3,4,8
536.3,5,4
536.5,8,3
537.0,11,15
537.0,18,15
537.8,4,16
538.0,11,15
538.3,5,4
538.7,2,6
539.8,14,10
540.0,8,4
540.5,8,7
541.7,19,4
542.0,14,15
542.5,6,10
542.7,2,1
542.8,14,13
542.9,14,10
545.5,14,10
546.2,9,10
547.2,18,3
547.3,18,3
547.4,10,14
547.8,4,16
548.3,18,15
548.7,10,6
549.8,17,12
551.6,9,4
552.2,8,19
552.4,16,12
552.6,3,6
552.7,3,6
553.5,13,14
553.6,11,12
553.9,13,12
554.5,8,19
554.8,15,14
555.3,8,7
555.8,17,18
555.9,10,14
556.4,2,6
556.9,9,10
557.0,13,9
557.0,13,9
557.3,6,3
557.4,2,6
557.6,6,3
558.2,10,14
558.5,4,5
558.8,8,4
558.9,13,9
559.2,12,17
559.2,17,12
561.3,19,4
561.6,10,6
562.3,14,17
563.2,1,12
563.6,19,4
564.6,17,12
564.9,9,13
565.4,6,5
565.5,5,4
565.9,6,2
566.1,6,2
566.8,6,5
567.3,15,11
567.4,19,4
568.2,10,9
568.8,4,5
568.8,18,2
568.9,10,9
569.1,6,2
569.1,9,14
569.1,18,2
569.9,17,14
570.4,4,16
571.2,7,8
571.3,6,5
571.5,4,19
572.4,12,11
573.9,15,16
574.4,4,5
574.7,6,5
575.3,6,5
575.5,8,4
575.5,14,10
575.6,3,6
575.7,3,6
575.9,14,17
576.0,13,9
576.5,17,12
577.4,17,12
578.0,1,12
578.4,2,17
579.0,2,17
579.0,9,5
579.0,12,1
579.3,4,8
579.8,4,8
579.9,4,8
581.0,6,3
581.5,9,13
581.8,16,11
582.2,18,17
583.0,3,6
583.3,3,6
583.6,12,17
583.7,18,19
584.0,15,10
584.6,4,8
585.9,9,13
586.2,17,2
586.8,14,10
587.1,18,2
587.2,9,10
587.3,6,2
588.3,17,2
588.4,17,2
588.8,19,18
589.0,6,3
